id,name,email,country,amount,date
138,Eduardo 138,eduardo.138138@example.com,Italy,86.71,2024-05-26
139,Diana 139,diana.139139@example.com,France,342.49,2024-10-03
140,Bob 140,bob.140140@example.com,Canada,159.32,2024-07-15
141,Carlos 141,carlos.141141@example.com,UK,73.59,2024-07-27
142,Fatima 142,fatima.142142@example.com,Japan,471.26,2024-02-01
143,Diana 143,diana.143143@example.com,Spain,395.58,2024-10-26
144,Alice 144,alice.144144@example.com,Brazil,386.57,2024-01-04
145,Fatima 145,fatima.145145@example.com,France,755.93,2024-08-02
146,Ivan 146,ivan.146146@example.com,Japan,801.86,2024-04-22
147,Hannah 147,hannah.147147@example.com,UK,280.2,2024-09-05
148,Alice 148,alice.148148@example.com,Spain,342.76,2024-12-13
149,George 149,george.149149@example.com,Canada,842.09,2024-03-06
150,Julia 150,julia.150150@example.com,Japan,36.7,2024-07-20
151,Julia 151,julia.151151@example.com,Brazil,666.36,2024-02-12
152,George 152,george.152152@example.com,Canada,868.17,2024-04-03
153,Alice 153,alice.153153@example.com,France,385.31,2024-04-18
154,Hannah 154,hannah.154154@example.com,Germany,344.12,2024-07-13
155,Eduardo 155,eduardo.155155@example.com,Spain,259.75,2024-02-11
156,Hannah 156,hannah.156156@example.com,USA,751.53,2024-01-27
157,Fatima 157,fatima.157157@example.com,UK,653.64,2024-11-29
158,Alice 158,alice.158158@example.com,USA,950.11,2024-04-12
159,Alice 159,alice.159159@example.com,Brazil,160.86,2024-03-05
160,Hannah 160,hannah.160160@example.com,Mexico,568.32,2024-04-21
161,Hannah 161,hannah.161161@example.com,France,769.22,2024-03-26
162,Julia 162,julia.162162@example.com,Brazil,964.09,2024-02-28
163,Carlos 163,carlos.163163@example.com,France,117.02,2024-01-14
164,Eduardo 164,eduardo.164164@example.com,Brazil,680.57,2024-07-11
165,George 165,george.165165@example.com,UK,85.24,2024-12-19
166,Diana 166,diana.166166@example.com,Mexico,700.21,2024-06-03
167,Julia 167,julia.167167@example.com,Mexico,798.26,2024-10-16
168,Alice 168,alice.168168@example.com,Germany,537.41,2024-12-04
169,Fatima 169,fatima.169169@example.com,Mexico,510.9,2024-06-23
170,Alice 170,alice.170170@example.com,Spain,824.1,2024-02-24
171,George 171,george.171171@example.com,Germany,639.22,2024-08-23
172,Carlos 172,carlos.172172@example.com,Spain,184.37,2024-09-24
173,Eduardo 173,eduardo.173173@example.com,Brazil,810.11,2024-10-02
174,Hannah 174,hannah.174174@example.com,Italy,441.21,2024-10-30
175,Eduardo 175,eduardo.175175@example.com,Germany,853.19,2024-02-14
176,Eduardo 176,eduardo.176176@example.com,Italy,251.42,2024-08-25
177,Julia 177,julia.177177@example.com,Brazil,671.5,2024-06-21
178,Alice 178,alice.178178@example.com,Italy,852.43,2024-04-03
179,Hannah 179,hannah.179179@example.com,UK,361.27,2024-05-12
180,Fatima 180,fatima.180180@example.com,France,881.51,2024-12-25
181,Eduardo 181,eduardo.181181@example.com,Japan,20.05,2024-04-07
182,Bob 182,bob.182182@example.com,UK,722.87,2024-09-07
183,Ivan 183,ivan.183183@example.com,UK,693.7,2024-11-26
184,Hannah 184,hannah.184184@example.com,Italy,795.0,2024-02-17
185,Eduardo 185,eduardo.185185@example.com,UK,410.35,2024-05-04
186,Eduardo 186,eduardo.186186@example.com,Brazil,375.33,2024-10-10
187,Ivan 187,ivan.187187@example.com,Germany,431.24,2024-10-08
188,Fatima 188,fatima.188188@example.com,Germany,705.82,2024-05-18
189,Eduardo 189,eduardo.189189@example.com,France,238.23,2024-04-08
190,Fatima 190,fatima.190190@example.com,Mexico,745.44,2024-12-19
191,Carlos 191,carlos.191191@example.com,UK,224.22,2024-09-04
192,Eduardo 192,eduardo.192192@example.com,Brazil,976.83,2024-09-25
193,Julia 193,julia.193193@example.com,France,980.7,2024-04-09
194,Eduardo 194,eduardo.194194@example.com,UK,367.27,2024-06-03
195,Alice 195,alice.195195@example.com,Japan,135.32,2024-01-24
196,Alice 196,alice.196196@example.com,Japan,299.21,2024-03-05
197,Hannah 197,hannah.197197@example.com,Mexico,873.98,2024-10-20
198,Eduardo 198,eduardo.198198@example.com,Italy,483.92,2024-06-23
199,Carlos 199,carlos.199199@example.com,USA,259.95,2024-09-01
200,Bob 200,bob.200200@example.com,Mexico,406.7,2024-02-07
201,Julia 201,julia.201201@example.com,USA,160.21,2024-10-15
202,Eduardo 202,eduardo.202202@example.com,Mexico,993.97,2024-03-01
203,Ivan 203,ivan.203203@example.com,Spain,610.25,2024-11-12
204,Diana 204,diana.204204@example.com,Japan,386.57,2024-08-14
205,Eduardo 205,eduardo.205205@example.com,Brazil,990.12,2024-06-05
206,Julia 206,julia.206206@example.com,Brazil,69.63,2024-02-20
207,Diana 207,diana.207207@example.com,UK,272.0,2024-02-11
208,Carlos 208,carlos.208208@example.com,UK,182.07,2024-02-08
209,Carlos 209,carlos.209209@example.com,USA,414.43,2024-12-18
210,Julia 210,julia.210210@example.com,Italy,298.34,2024-04-28
211,Eduardo 211,eduardo.211211@example.com,France,705.95,2024-08-20
212,Bob 212,bob.212212@example.com,UK,924.66,2024-11-16
213,Julia 213,julia.213213@example.com,UK,430.88,2024-10-05
214,Diana 214,diana.214214@example.com,Canada,909.32,2024-03-13
215,Bob 215,bob.215215@example.com,USA,174.26,2024-06-06
216,Julia 216,julia.216216@example.com,Brazil,921.97,2024-08-12
217,Bob 217,bob.217217@example.com,Italy,691.78,2024-12-24
218,George 218,george.218218@example.com,France,505.46,2024-09-09
219,Hannah 219,hannah.219219@example.com,Mexico,602.05,2024-08-09
220,Fatima 220,fatima.220220@example.com,Brazil,257.86,2024-02-16
221,Diana 221,diana.221221@example.com,Brazil,591.25,2024-01-11
222,Eduardo 222,eduardo.222222@example.com,Brazil,49.83,2024-03-30
223,Hannah 223,hannah.223223@example.com,Japan,654.99,2024-05-22
224,Carlos 224,carlos.224224@example.com,Brazil,441.52,2024-09-08
225,Bob 225,bob.225225@example.com,Italy,354.48,2024-06-19
226,Fatima 226,fatima.226226@example.com,Mexico,859.15,2024-06-17
227,George 227,george.227227@example.com,Italy,295.33,2024-07-24
228,Ivan 228,ivan.228228@example.com,USA,460.27,2024-06-10
229,Eduardo 229,eduardo.229229@example.com,Germany,124.76,2024-07-25
230,Ivan 230,ivan.230230@example.com,USA,661.08,2024-10-04
231,Hannah 231,hannah.231231@example.com,Spain,63.66,2024-09-22
232,Fatima 232,fatima.232232@example.com,Brazil,758.87,2024-11-16
233,Hannah 233,hannah.233233@example.com,USA,211.52,2024-10-08
234,Carlos 234,carlos.234234@example.com,France,443.73,2024-12-23
235,Hannah 235,hannah.235235@example.com,Mexico,38.58,2024-11-18
236,Julia 236,julia.236236@example.com,UK,712.68,2024-06-08
237,Ivan 237,ivan.237237@example.com,USA,556.72,2024-02-17
238,Diana 238,diana.238238@example.com,Mexico,466.83,2024-03-01
239,Carlos 239,carlos.239239@example.com,Italy,933.32,2024-05-29
240,Ivan 240,ivan.240240@example.com,France,421.33,2024-09-04
241,Hannah 241,hannah.241241@example.com,UK,462.21,2024-03-15
242,George 242,george.242242@example.com,UK,922.64,2024-09-17
243,Carlos 243,carlos.243243@example.com,Mexico,283.48,2024-07-31
244,Fatima 244,fatima.244244@example.com,Japan,274.5,2024-01-02
245,Eduardo 245,eduardo.245245@example.com,France,839.09,2024-10-23
246,Hannah 246,hannah.246246@example.com,Canada,452.08,2024-09-04
247,Fatima 247,fatima.247247@example.com,Germany,556.39,2024-10-05
248,George 248,george.248248@example.com,Italy,933.51,2024-04-06
249,Diana 249,diana.249249@example.com,Brazil,389.14,2024-07-29
250,Alice 250,alice.250250@example.com,Germany,747.25,2024-12-27
251,George 251,george.251251@example.com,Spain,988.52,2024-11-29
252,Carlos 252,carlos.252252@example.com,Italy,965.17,2024-03-05
253,Ivan 253,ivan.253253@example.com,Brazil,338.67,2024-02-21
254,Hannah 254,hannah.254254@example.com,Mexico,530.69,2024-08-21
255,Alice 255,alice.255255@example.com,Canada,415.87,2024-12-01
256,Carlos 256,carlos.256256@example.com,Mexico,474.79,2024-05-15
257,Fatima 257,fatima.257257@example.com,Brazil,695.77,2024-11-28
258,Bob 258,bob.258258@example.com,Germany,853.81,2024-09-30
259,George 259,george.259259@example.com,Germany,630.52,2024-09-06
260,Ivan 260,ivan.260260@example.com,USA,621.28,2024-04-30
261,Eduardo 261,eduardo.261261@example.com,UK,749.29,2024-08-10
262,Bob 262,bob.262262@example.com,Mexico,449.24,2024-12-21
263,Eduardo 263,eduardo.263263@example.com,USA,55.53,2024-01-29
264,Eduardo 264,eduardo.264264@example.com,Germany,381.09,2024-03-15
265,Diana 265,diana.265265@example.com,Japan,417.93,2024-12-15
266,Carlos 266,carlos.266266@example.com,Canada,183.32,2024-11-08
267,George 267,george.267267@example.com,Brazil,686.3,2024-09-11
268,Julia 268,julia.268268@example.com,Canada,239.86,2024-11-22
269,Eduardo 269,eduardo.269269@example.com,Italy,262.77,2024-01-05
270,Hannah 270,hannah.270270@example.com,France,680.83,2024-03-21
271,Bob 271,bob.271271@example.com,Italy,945.77,2024-10-27
272,Eduardo 272,eduardo.272272@example.com,Spain,693.4,2024-08-21
273,Eduardo 273,eduardo.273273@example.com,UK,999.37,2024-09-04
274,Bob 274,bob.274274@example.com,UK,387.55,2024-07-02
275,Julia 275,julia.275275@example.com,France,992.76,2024-05-31
276,Alice 276,alice.276276@example.com,Spain,281.73,2024-10-16
277,Alice 277,alice.277277@example.com,Brazil,747.71,2024-05-26
278,Diana 278,diana.278278@example.com,Brazil,803.9,2024-04-22
279,Diana 279,diana.279279@example.com,Brazil,258.12,2024-12-03
280,Carlos 280,carlos.280280@example.com,Mexico,904.36,2024-11-26
281,Alice 281,alice.281281@example.com,France,790.72,2024-01-18
282,Julia 282,julia.282282@example.com,Germany,735.03,2024-02-16
283,Eduardo 283,eduardo.283283@example.com,Germany,750.0,2024-03-30
284,Diana 284,diana.284284@example.com,Canada,788.64,2024-07-06
285,Ivan 285,ivan.285285@example.com,Japan,914.34,2024-03-25
286,Eduardo 286,eduardo.286286@example.com,Italy,967.7,2024-05-31
287,Fatima 287,fatima.287287@example.com,Mexico,473.64,2024-02-08
288,Carlos 288,carlos.288288@example.com,UK,861.53,2024-12-11
289,George 289,george.289289@example.com,Japan,372.11,2024-07-21
290,Alice 290,alice.290290@example.com,France,541.2,2024-08-20
291,Fatima 291,fatima.291291@example.com,France,588.71,2024-11-22
292,Fatima 292,fatima.292292@example.com,Mexico,678.08,2024-08-29
293,Alice 293,alice.293293@example.com,Brazil,885.38,2024-10-14
294,Fatima 294,fatima.294294@example.com,Brazil,229.15,2024-02-02
295,Hannah 295,hannah.295295@example.com,France,652.74,2024-02-29
296,Carlos 296,carlos.296296@example.com,USA,946.79,2024-06-04
297,Hannah 297,hannah.297297@example.com,Mexico,106.22,2024-10-02
298,Carlos 298,carlos.298298@example.com,Spain,459.1,2024-12-09
299,Ivan 299,ivan.299299@example.com,Spain,591.46,2024-03-20
300,George 300,george.300300@example.com,Mexico,835.35,2024-11-11
301,George 301,george.301301@example.com,France,42.39,2024-07-08
302,Diana 302,diana.302302@example.com,Italy,450.24,2024-04-30
303,Fatima 303,fatima.303303@example.com,Mexico,981.11,2024-07-07
304,Ivan 304,ivan.304304@example.com,Germany,69.94,2024-05-21
305,Diana 305,diana.305305@example.com,Mexico,949.51,2024-08-20
306,Bob 306,bob.306306@example.com,UK,645.28,2024-11-01
307,Alice 307,alice.307307@example.com,USA,788.92,2024-05-04
308,Carlos 308,carlos.308308@example.com,Brazil,213.15,2024-10-10
309,Diana 309,diana.309309@example.com,Brazil,223.79,2024-04-29
310,Fatima 310,fatima.310310@example.com,Canada,790.75,2024-11-01
311,Alice 311,alice.311311@example.com,France,859.81,2024-03-15
312,Carlos 312,carlos.312312@example.com,Japan,258.15,2024-03-30
313,Bob 313,bob.313313@example.com,USA,140.48,2024-07-02
314,Diana 314,diana.314314@example.com,Brazil,330.53,2024-03-30
315,Eduardo 315,eduardo.315315@example.com,USA,135.49,2024-08-03
316,Ivan 316,ivan.316316@example.com,Mexico,748.2,2024-08-31
317,Hannah 317,hannah.317317@example.com,Germany,518.1,2024-02-25
318,Hannah 318,hannah.318318@example.com,Japan,229.33,2024-11-10
319,Alice 319,alice.319319@example.com,Japan,308.61,2024-11-25
320,Alice 320,alice.320320@example.com,USA,998.59,2024-07-24
321,George 321,george.321321@example.com,Mexico,495.36,2024-08-15
322,Bob 322,bob.322322@example.com,Mexico,328.89,2024-03-16
323,Bob 323,bob.323323@example.com,Canada,282.26,2024-11-20
324,Julia 324,julia.324324@example.com,Japan,715.02,2024-07-14
325,Julia 325,julia.325325@example.com,Japan,301.95,2024-09-15
326,Julia 326,julia.326326@example.com,Spain,108.19,2024-12-25
327,Bob 327,bob.327327@example.com,Japan,723.62,2024-04-20
328,George 328,george.328328@example.com,Italy,889.2,2024-07-30
329,Fatima 329,fatima.329329@example.com,Italy,404.74,2024-02-18
330,Fatima 330,fatima.330330@example.com,Spain,319.4,2024-05-10
331,Fatima 331,fatima.331331@example.com,Canada,689.95,2024-08-30
332,Bob 332,bob.332332@example.com,Mexico,833.45,2024-02-17
333,George 333,george.333333@example.com,Mexico,747.14,2024-07-09
334,Carlos 334,carlos.334334@example.com,Japan,69.38,2024-10-14
335,Ivan 335,ivan.335335@example.com,Germany,673.31,2024-07-29
336,Fatima 336,fatima.336336@example.com,Spain,869.4,2024-01-27
337,Eduardo 337,eduardo.337337@example.com,Brazil,319.32,2024-02-23
338,Julia 338,julia.338338@example.com,Japan,220.61,2024-12-02
339,Hannah 339,hannah.339339@example.com,UK,848.79,2024-06-28
340,Ivan 340,ivan.340340@example.com,Germany,123.74,2024-05-22
341,Julia 341,julia.341341@example.com,UK,809.14,2024-10-14
342,Julia 342,julia.342342@example.com,Brazil,678.22,2024-10-12
343,Alice 343,alice.343343@example.com,Brazil,929.78,2024-12-21
344,Eduardo 344,eduardo.344344@example.com,USA,188.61,2024-12-25
345,Eduardo 345,eduardo.345345@example.com,Germany,357.51,2024-04-02
346,Carlos 346,carlos.346346@example.com,Brazil,660.76,2024-02-05
347,Carlos 347,carlos.347347@example.com,USA,100.84,2024-09-28
348,Diana 348,diana.348348@example.com,Spain,425.63,2024-06-23
349,Carlos 349,carlos.349349@example.com,Germany,318.52,2024-06-15
350,Julia 350,julia.350350@example.com,Brazil,94.11,2024-01-27
351,Carlos 351,carlos.351351@example.com,Canada,756.88,2024-01-26
352,Bob 352,bob.352352@example.com,France,448.68,2024-08-05
353,Hannah 353,hannah.353353@example.com,Brazil,447.62,2024-05-19
354,Diana 354,diana.354354@example.com,Japan,122.68,2024-08-08
355,Bob 355,bob.355355@example.com,France,681.43,2024-10-30
356,Hannah 356,hannah.356356@example.com,Japan,670.45,2024-01-24
357,Diana 357,diana.357357@example.com,Spain,984.59,2024-01-29
358,Alice 358,alice.358358@example.com,UK,308.4,2024-04-18
359,Carlos 359,carlos.359359@example.com,France,296.55,2024-03-02
360,Alice 360,alice.360360@example.com,Italy,749.54,2024-03-30
361,Carlos 361,carlos.361361@example.com,Spain,537.25,2024-04-27
362,Ivan 362,ivan.362362@example.com,Japan,835.01,2024-06-30
363,Bob 363,bob.363363@example.com,Spain,863.14,2024-01-22
364,George 364,george.364364@example.com,USA,465.15,2024-02-09
365,Fatima 365,fatima.365365@example.com,Brazil,434.99,2024-07-26
366,George 366,george.366366@example.com,France,124.02,2024-01-11
367,Fatima 367,fatima.367367@example.com,Canada,803.3,2024-11-12
368,Hannah 368,hannah.368368@example.com,Germany,97.25,2024-02-24
369,Diana 369,diana.369369@example.com,Spain,592.98,2024-09-25
370,Bob 370,bob.370370@example.com,Spain,871.81,2024-06-22
371,Diana 371,diana.371371@example.com,Germany,781.32,2024-02-09
372,Ivan 372,ivan.372372@example.com,Mexico,535.29,2024-04-09
373,Fatima 373,fatima.373373@example.com,Germany,730.1,2024-11-26
374,Carlos 374,carlos.374374@example.com,UK,111.78,2024-05-11
375,Diana 375,diana.375375@example.com,Canada,606.37,2024-12-01
376,Bob 376,bob.376376@example.com,Canada,951.77,2024-11-17
377,Hannah 377,hannah.377377@example.com,Italy,756.89,2024-10-23
378,Hannah 378,hannah.378378@example.com,Brazil,646.56,2024-11-15
379,Fatima 379,fatima.379379@example.com,Germany,159.45,2024-02-04
380,Hannah 380,hannah.380380@example.com,Italy,635.06,2024-05-20
381,Julia 381,julia.381381@example.com,USA,358.42,2024-02-07
382,Eduardo 382,eduardo.382382@example.com,Italy,457.39,2024-01-30
383,Fatima 383,fatima.383383@example.com,France,85.96,2024-02-16
384,Julia 384,julia.384384@example.com,Brazil,511.99,2024-08-24
385,Julia 385,julia.385385@example.com,Japan,954.68,2024-01-22
386,Hannah 386,hannah.386386@example.com,Brazil,655.31,2024-06-13
387,Julia 387,julia.387387@example.com,Italy,506.35,2024-02-01
388,Hannah 388,hannah.388388@example.com,Mexico,812.85,2024-06-24
389,Bob 389,bob.389389@example.com,Japan,649.66,2024-01-21
390,Diana 390,diana.390390@example.com,Italy,991.07,2024-09-25
391,Ivan 391,ivan.391391@example.com,Brazil,167.16,2024-07-09
392,Eduardo 392,eduardo.392392@example.com,Spain,414.68,2024-06-22
393,Julia 393,julia.393393@example.com,USA,791.33,2024-11-27
394,Fatima 394,fatima.394394@example.com,Mexico,336.39,2024-10-12
395,George 395,george.395395@example.com,France,259.47,2024-12-02
396,Julia 396,julia.396396@example.com,Canada,340.03,2024-10-25
397,Carlos 397,carlos.397397@example.com,Germany,317.13,2024-12-01
398,George 398,george.398398@example.com,Canada,599.08,2024-02-13
399,Eduardo 399,eduardo.399399@example.com,Japan,382.91,2024-06-17
400,Carlos 400,carlos.400400@example.com,Japan,102.52,2024-12-09
401,George 401,george.401401@example.com,Japan,368.21,2024-07-04
402,Eduardo 402,eduardo.402402@example.com,Canada,951.65,2024-06-23
403,Hannah 403,hannah.403403@example.com,UK,234.28,2024-03-11
404,Carlos 404,carlos.404404@example.com,Mexico,302.83,2024-02-21
405,Ivan 405,ivan.405405@example.com,Japan,836.76,2024-09-26
406,Alice 406,alice.406406@example.com,Germany,877.62,2024-11-12
407,Carlos 407,carlos.407407@example.com,Brazil,382.95,2024-03-24
408,Carlos 408,carlos.408408@example.com,Brazil,810.95,2024-03-25
409,Hannah 409,hannah.409409@example.com,USA,416.75,2024-12-12
410,Diana 410,diana.410410@example.com,Italy,614.48,2024-08-17
411,Diana 411,diana.411411@example.com,Japan,246.77,2024-08-28
